top-left-square,top-middle-square,top-right-square,middle-left-square,middle-middle-square,middle-right-square,bottom-left-square,bottom-middle-square,bottom-right-square,result
-1,-1,0,0,1,1,-1,1,0,1
-1,-1,0,0,1,1,-1,1,1,-1
-1,-1,0,0,1,1,0,-1,1,1
-1,-1,0,0,1,1,0,0,0,1
-1,-1,0,0,1,1,0,0,1,-1
-1,-1,0,0,1,1,0,1,-1,1
-1,-1,0,0,1,1,0,1,0,-1
-1,-1,0,0,1,1,1,-1,0,1
-1,-1,0,0,1,1,1,-1,1,-1
-1,-1,0,0,1,1,1,0,-1,1
-1,-1,0,0,1,1,1,0,0,-1
-1,-1,0,0,1,1,1,1,-1,-1
-1,-1,0,1,-1,-1,1,1,1,1
-1,-1,0,1,-1,0,0,1,1,1
-1,-1,0,1,-1,0,1,0,1,1
-1,-1,0,1,-1,0,1,1,0,1
-1,-1,0,1,-1,0,1,1,1,1
-1,-1,0,1,-1,1,-1,1,1,1
-1,-1,0,1,-1,1,0,0,1,1
-1,-1,0,1,-1,1,0,1,0,-1
-1,-1,0,1,-1,1,0,1,1,-1
-1,-1,0,1,-1,1,1,-1,1,-1
-1,-1,0,1,-1,1,1,0,0,-1
-1,-1,0,1,-1,1,1,0,1,-1
-1,-1,0,1,-1,1,1,1,-1,-1
-1,-1,0,1,-1,1,1,1,0,-1
-1,-1,0,1,0,-1,0,1,1,1
-1,-1,0,1,0,-1,1,0,1,1
-1,-1,0,1,0,-1,1,1,0,1
-1,-1,0,1,0,-1,1,1,1,1
-1,-1,0,1,0,0,-1,1,1,0
-1,-1,0,1,0,0,0,0,1,1
-1,-1,0,1,0,0,0,1,0,1
-1,-1,0,1,0,0,0,1,1,-1
-1,-1,0,1,0,0,1,-1,1,-1
-1,-1,0,1,0,0,1,0,0,-1
-1,-1,0,1,0,0,1,0,1,-1
-1,-1,0,1,0,0,1,1,-1,-1
-1,-1,0,1,0,0,1,1,0,-1
-1,-1,0,1,0,1,-1,0,1,1
-1,-1,0,1,0,1,-1,1,0,1
-1,-1,0,1,0,1,-1,1,1,-1
-1,-1,0,1,0,1,0,-1,1,1
-1,-1,0,1,0,1,0,0,0,1
-1,-1,0,1,0,1,0,0,1,-1
-1,-1,0,1,0,1,0,1,-1,1
-1,-1,0,1,0,1,0,1,0,-1
-1,-1,0,1,0,1,1,-1,0,1
-1,-1,0,1,0,1,1,-1,1,-1
-1,-1,0,1,0,1,1,0,-1,1
-1,-1,0,1,0,1,1,0,0,-1
-1,-1,0,1,0,1,1,1,-1,-1
-1,-1,0,1,1,-1,-1,1,1,0
-1,-1,0,1,1,-1,0,0,1,0
-1,-1,0,1,1,-1,0,1,0,0
-1,-1,0,1,1,-1,0,1,1,-1
-1,-1,0,1,1,-1,1,-1,1,1
-1,-1,0,1,1,-1,1,0,0,1
-1,-1,0,1,1,-1,1,0,1,-1
-1,-1,0,1,1,-1,1,1,-1,1
-1,-1,0,1,1,-1,1,1,0,-1
-1,-1,0,1,1,0,-1,0,1,1
-1,-1,0,1,1,0,-1,1,0,1
-1,-1,0,1,1,0,-1,1,1,-1
-1,-1,0,1,1,0,0,-1,1,1
-1,-1,0,1,1,0,0,0,0,1
-1,-1,0,1,1,0,0,0,1,-1
-1,-1,0,1,1,0,0,1,-1,1
-1,-1,0,1,1,0,0,1,0,-1
-1,-1,0,1,1,0,1,-1,0,1
-1,-1,0,1,1,0,1,-1,1,-1
-1,-1,0,1,1,0,1,0,-1,1
-1,-1,0,1,1,0,1,0,0,-1
-1,-1,0,1,1,0,1,1,-1,-1
-1,-1,0,1,1,1,-1,-1,1,1
-1,-1,0,1,1,1,-1,0,0,1
-1,-1,0,1,1,1,-1,0,1,1
-1,-1,0,1,1,1,-1,1,-1,1
-1,-1,0,1,1,1,-1,1,0,1
-1,-1,0,1,1,1,0,-1,0,1
-1,-1,0,1,1,1,0,-1,1,1
-1,-1,0,1,1,1,0,0,-1,1
-1,-1,0,1,1,1,0,0,0,1
-1,-1,0,1,1,1,0,1,-1,1
-1,-1,0,1,1,1,1,-1,-1,1
-1,-1,0,1,1,1,1,-1,0,1
-1,-1,0,1,1,1,1,0,-1,1
-1,-1,1,-1,-1,0,1,1,1,1
-1,-1,1,-1,-1,1,0,1,1,1
-1,-1,1,-1,-1,1,1,0,1,1
-1,-1,1,-1,-1,1,1,1,0,1
-1,-1,1,-1,-1,1,1,1,1,1
-1,-1,1,-1,0,-1,1,1,1,1
-1,-1,1,-1,0,0,0,1,1,1
-1,-1,1,-1,0,0,1,0,1,1
-1,-1,1,-1,0,0,1,1,0,1
-1,-1,1,-1,0,0,1,1,1,1
-1,-1,1,-1,0,1,0,0,1,1
-1,-1,1,-1,0,1,0,1,0,1
-1,-1,1,-1,0,1,0,1,1,1
-1,-1,1,-1,0,1,1,-1,1,1
-1,-1,1,-1,0,1,1,0,0,1
-1,-1,1,-1,0,1,1,0,1,1
-1,-1,1,-1,0,1,1,1,-1,1
-1,-1,1,-1,0,1,1,1,0,1
-1,-1,1,-1,1,-1,0,1,1,1
-1,-1,1,-1,1,-1,1,0,1,1
-1,-1,1,-1,1,-1,1,1,0,1
-1,-1,1,-1,1,-1,1,1,1,1
-1,-1,1,-1,1,0,-1,1,1,-1
-1,-1,1,-1,1,0,0,0,1,1
-1,-1,1,-1,1,0,0,1,0,1
-1,-1,1,-1,1,0,0,1,1,-1
-1,-1,1,-1,1,0,1,-1,1,1
-1,-1,1,-1,1,0,1,0,0,1
-1,-1,1,-1,1,0,1,0,1,1
-1,-1,1,-1,1,0,1,1,-1,1
-1,-1,1,-1,1,0,1,1,0,1
-1,-1,1,-1,1,1,-1,1,0,-1
-1,-1,1,-1,1,1,0,-1,1,1
-1,-1,1,-1,1,1,0,0,0,1
-1,-1,1,-1,1,1,0,0,1,1
-1,-1,1,-1,1,1,0,1,-1,1
-1,-1,1,-1,1,1,0,1,0,-1
-1,-1,1,-1,1,1,1,-1,0,1
-1,-1,1,-1,1,1,1,-1,1,1
-1,-1,1,-1,1,1,1,0,-1,1
-1,-1,1,-1,1,1,1,0,0,1
-1,-1,1,-1,1,1,1,1,-1,1
-1,-1,1,0,-1,-1,1,1,1,1
-1,-1,1,0,-1,0,0,1,1,1
-1,-1,1,0,-1,0,1,0,1,1
-1,-1,1,0,-1,0,1,1,0,1
-1,-1,1,0,-1,0,1,1,1,1
-1,-1,1,0,-1,1,-1,1,1,1
-1,-1,1,0,-1,1,0,0,1,1
-1,-1,1,0,-1,1,0,1,0,1
-1,-1,1,0,-1,1,0,1,1,1
-1,-1,1,0,-1,1,1,0,0,1
-1,-1,1,0,-1,1,1,0,1,1
-1,-1,1,0,-1,1,1,1,-1,-1
-1,-1,1,0,-1,1,1,1,0,-1
-1,-1,1,0,0,-1,0,1,1,1
-1,-1,1,0,0,-1,1,0,1,1
-1,-1,1,0,0,-1,1,1,0,1
-1,-1,1,0,0,-1,1,1,1,1
-1,-1,1,0,0,0,-1,1,1,1
-1,-1,1,0,0,0,0,0,1,1
-1,-1,1,0,0,0,0,1,0,1
-1,-1,1,0,0,0,0,1,1,1
-1,-1,1,0,0,0,1,-1,1,1
-1,-1,1,0,0,0,1,0,0,1
-1,-1,1,0,0,0,1,0,1,1
-1,-1,1,0,0,0,1,1,-1,1
-1,-1,1,0,0,0,1,1,0,1
-1,-1,1,0,0,1,-1,0,1,1
-1,-1,1,0,0,1,-1,1,0,1
-1,-1,1,0,0,1,-1,1,1,1
-1,-1,1,0,0,1,0,-1,1,1
-1,-1,1,0,0,1,0,0,0,1
-1,-1,1,0,0,1,0,0,1,1
-1,-1,1,0,0,1,0,1,-1,1
-1,-1,1,0,0,1,0,1,0,1
-1,-1,1,0,0,1,1,-1,0,1
-1,-1,1,0,0,1,1,-1,1,1
-1,-1,1,0,0,1,1,0,-1,1
-1,-1,1,0,0,1,1,0,0,1
-1,-1,1,0,0,1,1,1,-1,-1
-1,-1,1,0,1,-1,-1,1,1,0
-1,-1,1,0,1,-1,0,0,1,1
-1,-1,1,0,1,-1,0,1,0,1
-1,-1,1,0,1,-1,0,1,1,0
-1,-1,1,0,1,-1,1,-1,1,1
-1,-1,1,0,1,-1,1,0,0,1
-1,-1,1,0,1,-1,1,0,1,1
-1,-1,1,0,1,-1,1,1,-1,1
-1,-1,1,0,1,-1,1,1,0,1
-1,-1,1,0,1,0,-1,0,1,1
-1,-1,1,0,1,0,-1,1,0,0
-1,-1,1,0,1,0,-1,1,1,-1
-1,-1,1,0,1,0,0,-1,1,1
-1,-1,1,0,1,0,0,0,0,1
-1,-1,1,0,1,0,0,0,1,1
-1,-1,1,0,1,0,0,1,-1,1
-1,-1,1,0,1,0,0,1,0,0
-1,-1,1,0,1,0,1,-1,0,1
-1,-1,1,0,1,0,1,-1,1,1
-1,-1,1,0,1,0,1,0,-1,1
-1,-1,1,0,1,0,1,0,0,1
-1,-1,1,0,1,0,1,1,-1,1
-1,-1,1,0,1,1,-1,-1,1,1
-1,-1,1,0,1,1,-1,0,0,1
-1,-1,1,0,1,1,-1,0,1,1
-1,-1,1,0,1,1,-1,1,-1,1
-1,-1,1,0,1,1,-1,1,0,-1
-1,-1,1,0,1,1,0,-1,0,1
-1,-1,1,0,1,1,0,-1,1,1
-1,-1,1,0,1,1,0,0,-1,1
-1,-1,1,0,1,1,0,0,0,1
-1,-1,1,0,1,1,0,1,-1,1
-1,-1,1,0,1,1,1,-1,-1,1
-1,-1,1,0,1,1,1,-1,0,1
-1,-1,1,0,1,1,1,0,-1,1
-1,-1,1,1,-1,-1,0,1,1,1
-1,-1,1,1,-1,-1,1,0,1,1
-1,-1,1,1,-1,-1,1,1,0,1
-1,-1,1,1,-1,-1,1,1,1,1
-1,-1,1,1,-1,0,-1,1,1,1
-1,-1,1,1,-1,0,0,0,1,1
-1,-1,1,1,-1,0,0,1,0,1
-1,-1,1,1,-1,0,0,1,1,1
-1,-1,1,1,-1,0,1,-1,1,-1
-1,-1,1,1,-1,0,1,0,0,-1
-1,-1,1,1,-1,0,1,0,1,-1
-1,-1,1,1,-1,0,1,1,-1,-1
-1,-1,1,1,-1,0,1,1,0,-1
-1,-1,1,1,-1,1,-1,0,1,1
-1,-1,1,1,-1,1,-1,1,0,1
-1,-1,1,1,-1,1,-1,1,1,1
-1,-1,1,1,-1,1,0,0,0,1
-1,-1,1,1,-1,1,0,0,1,1
-1,-1,1,1,-1,1,0,1,-1,-1
-1,-1,1,1,-1,1,0,1,0,-1
-1,-1,1,1,-1,1,1,-1,0,-1
-1,-1,1,1,-1,1,1,0,-1,-1
-1,-1,1,1,-1,1,1,0,0,-1
-1,-1,1,1,-1,1,1,1,-1,-1
-1,-1,1,1,0,-1,-1,1,1,0
-1,-1,1,1,0,-1,0,0,1,1
-1,-1,1,1,0,-1,0,1,0,1
-1,-1,1,1,0,-1,0,1,1,0
-1,-1,1,1,0,-1,1,-1,1,1
-1,-1,1,1,0,-1,1,0,0,1
-1,-1,1,1,0,-1,1,0,1,1
-1,-1,1,1,0,-1,1,1,-1,1
-1,-1,1,1,0,-1,1,1,0,1
-1,-1,1,1,0,0,-1,0,1,1
-1,-1,1,1,0,0,-1,1,0,1
-1,-1,1,1,0,0,-1,1,1,0
-1,-1,1,1,0,0,0,-1,1,1
-1,-1,1,1,0,0,0,0,0,1
-1,-1,1,1,0,0,0,0,1,1
-1,-1,1,1,0,0,0,1,-1,1
-1,-1,1,1,0,0,0,1,0,1
-1,-1,1,1,0,0,1,-1,0,1
-1,-1,1,1,0,0,1,-1,1,-1
-1,-1,1,1,0,0,1,0,-1,1
-1,-1,1,1,0,0,1,0,0,-1
-1,-1,1,1,0,0,1,1,-1,-1
-1,-1,1,1,0,1,-1,-1,1,1
-1,-1,1,1,0,1,-1,0,0,1
-1,-1,1,1,0,1,-1,0,1,1
-1,-1,1,1,0,1,-1,1,-1,1
-1,-1,1,1,0,1,-1,1,0,1
-1,-1,1,1,0,1,0,-1,0,1
-1,-1,1,1,0,1,0,-1,1,1
-1,-1,1,1,0,1,0,0,-1,1
-1,-1,1,1,0,1,0,0,0,1
-1,-1,1,1,0,1,0,1,-1,-1
-1,-1,1,1,0,1,1,-1,-1,1
-1,-1,1,1,0,1,1,-1,0,-1
-1,-1,1,1,0,1,1,0,-1,-1
-1,-1,1,1,1,-1,-1,0,1,0
-1,-1,1,1,1,-1,-1,1,0,0
-1,-1,1,1,1,-1,-1,1,1,0
-1,-1,1,1,1,-1,0,-1,1,1
-1,-1,1,1,1,-1,0,0,0,1
-1,-1,1,1,1,-1,0,0,1,0
-1,-1,1,1,1,-1,0,1,-1,1
-1,-1,1,1,1,-1,0,1,0,0
-1,-1,1,1,1,-1,1,-1,0,1
-1,-1,1,1,1,-1,1,-1,1,1
-1,-1,1,1,1,-1,1,0,-1,1
-1,-1,1,1,1,-1,1,0,0,1
-1,-1,1,1,1,-1,1,1,-1,1
-1,-1,1,1,1,0,-1,-1,1,1
-1,-1,1,1,1,0,-1,0,0,1
-1,-1,1,1,1,0,-1,0,1,0
-1,-1,1,1,1,0,-1,1,-1,1
-1,-1,1,1,1,0,-1,1,0,0
-1,-1,1,1,1,0,0,-1,0,1
-1,-1,1,1,1,0,0,-1,1,1
-1,-1,1,1,1,0,0,0,-1,1
-1,-1,1,1,1,0,0,0,0,1
-1,-1,1,1,1,0,0,1,-1,1
-1,-1,1,1,1,0,1,-1,-1,1
-1,-1,1,1,1,0,1,-1,0,1
-1,-1,1,1,1,0,1,0,-1,1
-1,-1,1,1,1,1,-1,-1,0,1
-1,-1,1,1,1,1,-1,-1,1,1
-1,-1,1,1,1,1,-1,0,-1,1
-1,-1,1,1,1,1,-1,0,0,1
-1,-1,1,1,1,1,-1,1,-1,1
-1,-1,1,1,1,1,0,-1,-1,1
-1,-1,1,1,1,1,0,-1,0,1
-1,-1,1,1,1,1,0,0,-1,1
-1,-1,1,1,1,1,1,-1,-1,1
-1,0,-1,-1,-1,1,1,1,1,1
-1,0,-1,-1,0,0,1,1,1,1
-1,0,-1,-1,0,1,0,1,1,1
-1,0,-1,-1,0,1,1,0,1,1
-1,0,-1,-1,0,1,1,1,0,1
-1,0,-1,-1,0,1,1,1,1,1
-1,0,-1,-1,1,-1,1,1,1,1
-1,0,-1,-1,1,0,0,1,1,1
-1,0,-1,-1,1,0,1,0,1,1
-1,0,-1,-1,1,0,1,1,0,1
-1,0,-1,-1,1,0,1,1,1,1
-1,0,-1,-1,1,1,-1,1,1,-1
-1,0,-1,-1,1,1,0,0,1,-1
-1,0,-1,-1,1,1,0,1,0,1
-1,0,-1,-1,1,1,0,1,1,-1
-1,0,-1,-1,1,1,1,-1,1,0
-1,0,-1,-1,1,1,1,0,0,0
-1,0,-1,-1,1,1,1,0,1,-1
-1,0,-1,-1,1,1,1,1,-1,1
-1,0,-1,-1,1,1,1,1,0,-1
-1,0,-1,0,-1,0,1,1,1,1
-1,0,-1,0,-1,1,0,1,1,1
-1,0,-1,0,-1,1,1,0,1,1
-1,0,-1,0,-1,1,1,1,0,1
-1,0,-1,0,-1,1,1,1,1,1
-1,0,-1,0,0,-1,1,1,1,1
-1,0,-1,0,0,0,0,1,1,1
-1,0,-1,0,0,0,1,0,1,1
-1,0,-1,0,0,0,1,1,0,1
-1,0,-1,0,0,0,1,1,1,1
-1,0,-1,0,0,1,-1,1,1,-1
-1,0,-1,0,0,1,0,0,1,-1
-1,0,-1,0,0,1,0,1,0,-1
-1,0,-1,0,0,1,0,1,1,-1
-1,0,-1,0,0,1,1,-1,1,0
-1,0,-1,0,0,1,1,0,0,0
-1,0,-1,0,0,1,1,0,1,-1
-1,0,-1,0,0,1,1,1,-1,-1
-1,0,-1,0,0,1,1,1,0,-1
-1,0,-1,0,1,-1,0,1,1,1
-1,0,-1,0,1,-1,1,0,1,1
-1,0,-1,0,1,-1,1,1,0,1
-1,0,-1,0,1,-1,1,1,1,1
-1,0,-1,0,1,0,-1,1,1,1
-1,0,-1,0,1,0,0,0,1,0
-1,0,-1,0,1,0,0,1,0,1
-1,0,-1,0,1,0,0,1,1,-1
-1,0,-1,0,1,0,1,-1,1,0
-1,0,-1,0,1,0,1,0,0,0
-1,0,-1,0,1,0,1,0,1,-1
-1,0,-1,0,1,0,1,1,-1,1
-1,0,-1,0,1,0,1,1,0,-1
-1,0,-1,0,1,1,-1,0,1,1
-1,0,-1,0,1,1,-1,1,0,1
-1,0,-1,0,1,1,-1,1,1,-1
-1,0,-1,0,1,1,0,-1,1,1
-1,0,-1,0,1,1,0,0,0,1
-1,0,-1,0,1,1,0,0,1,-1
-1,0,-1,0,1,1,0,1,-1,1
-1,0,-1,0,1,1,0,1,0,-1
-1,0,-1,0,1,1,1,-1,0,1
-1,0,-1,0,1,1,1,-1,1,-1
-1,0,-1,0,1,1,1,0,-1,1
-1,0,-1,0,1,1,1,0,0,-1
-1,0,-1,0,1,1,1,1,-1,-1
-1,0,-1,1,-1,-1,1,1,1,1
-1,0,-1,1,-1,0,0,1,1,1
-1,0,-1,1,-1,0,1,0,1,1
-1,0,-1,1,-1,0,1,1,0,1
-1,0,-1,1,-1,0,1,1,1,1
-1,0,-1,1,-1,1,-1,1,1,-1
-1,0,-1,1,-1,1,0,0,1,-1
-1,0,-1,1,-1,1,0,1,0,-1
-1,0,-1,1,-1,1,0,1,1,-1
-1,0,-1,1,-1,1,1,-1,1,0
-1,0,-1,1,-1,1,1,0,0,-1
-1,0,-1,1,-1,1,1,0,1,-1
-1,0,-1,1,-1,1,1,1,-1,-1
-1,0,-1,1,-1,1,1,1,0,-1
-1,0,-1,1,0,-1,0,1,1,1
-1,0,-1,1,0,-1,1,0,1,1
-1,0,-1,1,0,-1,1,1,0,1
-1,0,-1,1,0,-1,1,1,1,1
-1,0,-1,1,0,0,-1,1,1,-1
-1,0,-1,1,0,0,0,0,1,0
-1,0,-1,1,0,0,0,1,0,-1
-1,0,-1,1,0,0,0,1,1,-1
-1,0,-1,1,0,0,1,-1,1,0
-1,0,-1,1,0,0,1,0,0,-1
-1,0,-1,1,0,0,1,0,1,-1
-1,0,-1,1,0,0,1,1,-1,-1
-1,0,-1,1,0,0,1,1,0,-1
-1,0,-1,1,0,1,-1,0,1,1
-1,0,-1,1,0,1,-1,1,0,1
-1,0,-1,1,0,1,-1,1,1,-1
-1,0,-1,1,0,1,0,-1,1,1
-1,0,-1,1,0,1,0,0,0,1
-1,0,-1,1,0,1,0,0,1,-1
-1,0,-1,1,0,1,0,1,-1,1
-1,0,-1,1,0,1,0,1,0,-1
-1,0,-1,1,0,1,1,-1,0,1
-1,0,-1,1,0,1,1,-1,1,-1
-1,0,-1,1,0,1,1,0,-1,1
-1,0,-1,1,0,1,1,0,0,-1
-1,0,-1,1,0,1,1,1,-1,-1
-1,0,-1,1,1,-1,-1,1,1,1
-1,0,-1,1,1,-1,0,0,1,0
-1,0,-1,1,1,-1,0,1,0,1
-1,0,-1,1,1,-1,0,1,1,-1
-1,0,-1,1,1,-1,1,-1,1,0
-1,0,-1,1,1,-1,1,0,0,-1
-1,0,-1,1,1,-1,1,0,1,-1
-1,0,-1,1,1,-1,1,1,-1,-1
-1,0,-1,1,1,-1,1,1,0,-1
-1,0,-1,1,1,0,-1,0,1,1
-1,0,-1,1,1,0,-1,1,0,1
-1,0,-1,1,1,0,-1,1,1,-1
-1,0,-1,1,1,0,0,-1,1,1
-1,0,-1,1,1,0,0,0,0,1
-1,0,-1,1,1,0,0,0,1,-1
-1,0,-1,1,1,0,0,1,-1,1
-1,0,-1,1,1,0,0,1,0,-1
-1,0,-1,1,1,0,1,-1,0,1
-1,0,-1,1,1,0,1,-1,1,-1
-1,0,-1,1,1,0,1,0,-1,1
-1,0,-1,1,1,0,1,0,0,-1
-1,0,-1,1,1,0,1,1,-1,-1
-1,0,-1,1,1,1,-1,-1,1,1
-1,0,-1,1,1,1,-1,0,0,1
-1,0,-1,1,1,1,-1,0,1,1
-1,0,-1,1,1,1,-1,1,-1,1
-1,0,-1,1,1,1,-1,1,0,1
-1,0,-1,1,1,1,0,-1,0,1
-1,0,-1,1,1,1,0,-1,1,1
-1,0,-1,1,1,1,0,0,-1,1
-1,0,-1,1,1,1,0,0,0,1
-1,0,-1,1,1,1,0,1,-1,1
-1,0,-1,1,1,1,1,-1,-1,1
-1,0,-1,1,1,1,1,-1,0,1
-1,0,-1,1,1,1,1,0,-1,1
-1,0,0,-1,-1,0,1,1,1,1
-1,0,0,-1,-1,1,0,1,1,1
-1,0,0,-1,-1,1,1,0,1,1
-1,0,0,-1,-1,1,1,1,0,1
-1,0,0,-1,-1,1,1,1,1,1
-1,0,0,-1,0,-1,1,1,1,1
-1,0,0,-1,0,0,0,1,1,1
-1,0,0,-1,0,0,1,0,1,1
-1,0,0,-1,0,0,1,1,0,1
-1,0,0,-1,0,0,1,1,1,1
-1,0,0,-1,0,1,-1,1,1,-1
-1,0,0,-1,0,1,0,0,1,1
-1,0,0,-1,0,1,0,1,0,1
-1,0,0,-1,0,1,0,1,1,-1
-1,0,0,-1,0,1,1,-1,1,1
-1,0,0,-1,0,1,1,0,0,1
-1,0,0,-1,0,1,1,0,1,1
-1,0,0,-1,0,1,1,1,-1,1
-1,0,0,-1,0,1,1,1,0,1
-1,0,0,-1,1,-1,0,1,1,1
-1,0,0,-1,1,-1,1,0,1,1
-1,0,0,-1,1,-1,1,1,0,1
-1,0,0,-1,1,-1,1,1,1,1
-1,0,0,-1,1,0,-1,1,1,-1
-1,0,0,-1,1,0,0,0,1,1
-1,0,0,-1,1,0,0,1,0,1
-1,0,0,-1,1,0,0,1,1,-1
-1,0,0,-1,1,0,1,-1,1,1
-1,0,0,-1,1,0,1,0,0,1
-1,0,0,-1,1,0,1,0,1,1
-1,0,0,-1,1,0,1,1,-1,1
-1,0,0,-1,1,0,1,1,0,1
-1,0,0,-1,1,1,-1,0,1,-1
-1,0,0,-1,1,1,-1,1,0,-1
-1,0,0,-1,1,1,-1,1,1,-1
-1,0,0,-1,1,1,0,-1,1,1
-1,0,0,-1,1,1,0,0,0,0
-1,0,0,-1,1,1,0,0,1,-1
-1,0,0,-1,1,1,0,1,-1,1
-1,0,0,-1,1,1,0,1,0,-1
-1,0,0,-1,1,1,1,-1,0,1
-1,0,0,-1,1,1,1,-1,1,0
-1,0,0,-1,1,1,1,0,-1,1
-1,0,0,-1,1,1,1,0,0,0
-1,0,0,-1,1,1,1,1,-1,1
-1,0,0,0,-1,-1,1,1,1,1
-1,0,0,0,-1,0,0,1,1,1
-1,0,0,0,-1,0,1,0,1,1
-1,0,0,0,-1,0,1,1,0,1
-1,0,0,0,-1,0,1,1,1,1
-1,0,0,0,-1,1,-1,1,1,1
-1,0,0,0,-1,1,0,0,1,1
-1,0,0,0,-1,1,0,1,0,1
-1,0,0,0,-1,1,0,1,1,1
-1,0,0,0,-1,1,1,-1,1,1
-1,0,0,0,-1,1,1,0,0,1
-1,0,0,0,-1,1,1,0,1,1
-1,0,0,0,-1,1,1,1,-1,-1
-1,0,0,0,-1,1,1,1,0,-1
-1,0,0,0,0,-1,0,1,1,1
